"Pais","Account2016"
"Myanmar",-0.7977831
"Namibia",0.582215
"Nauru",0.5078483
"Nepal",-0.2528713
"Netherlands",1.540276
"Netherlands Antilles",NA
"New Zealand",1.532413
"Nicaragua",-0.6815341
"Niger",-0.4227969
"Nigeria",-0.3201829
"Niue",NA
"North Macedonia",-0.2360974
"Norway",1.664255
"Oman",-1.054407
"Pakistan",-0.7009914
"Palau",1.213331
"Panama",0.523939
"Papua New Guinea",0.1572416
"Paraguay",-0.0623435
"Peru",0.2676311
"Philippines",0.1621089
"Poland",0.8434905
"Portugal",1.15696
"Puerto Rico",0.4102385
"Qatar",-1.152304
"Reunion",NA
"Romania",0.5397747
"Russian Federation",-1.133949
"Rwanda",-1.157009
"Samoa",0.7742988
"San Marino",1.191398
"Sao Tome and Principe",0.3688102
"Saudi Arabia",-1.729217
"Senegal",0.3692187
"Serbia",0.199048
"Seychelles",0.1581115
"Sierra Leone",-0.1992541
"Singapore",-0.1504537
"Slovak Republic",0.9607725
"Slovenia",1.010171
"Solomon Islands",0.4673913
"Somalia",-1.912402
"South Africa",0.6476842
"South Sudan",-1.794646
"Spain",1.041046
"Sri Lanka",-0.0821306
"St. Kitts and Nevis",1.006535
"St. Lucia",1.012656
"St. Vincent and the Grenadines",0.9553044
"Sudan",-1.837655
"Suriname",0.4152397
"Sweden",1.563904
"Switzerland",1.531788
"Syrian Arab Republic",-1.986811
"Taiwan, China",1.009288
"Tajikistan",-1.691764
"Tanzania",-0.2237958
"Thailand",-1.025114
"Timor-Leste",0.2195098
"Togo",-0.5458997
"Tonga",0.6426938
"Trinidad and Tobago",0.5579509
"Tunisia",0.3034269
"Turkey",-0.6089115
"Turkmenistan",-2.170887
"Tuvalu",1.081738
"Uganda",-0.6500137
"Ukraine",0.0005961
"United Arab Emirates",-1.050421
"United Kingdom",1.294636
"United States",1.10928
"Uruguay",1.162972
"Uzbekistan",-1.886904
"Vanuatu",0.6641108
"Venezuela, RB",-1.136598
"Vietnam",-1.374982
"Virgin Islands (U.S.)",NA
"West Bank and Gaza",-1.094875
"Yemen, Rep.",-1.691974
"Zambia",-0.3061097
"Zimbabwe",-1.180987
